team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Nicholls State,69.9,101.6,.447,.395,.514,57.3,77.1,9.3,10.9,.474,17.3,35.1,.298,69.9,77.3,.430,.439,.393,42.7,47.1,11.4,8.7,.333,13.8,23.0,.281,48,114,.421,12,45,.267,34,51,.667,27,94,37,13,7,29,36,2,0,2,.000,2.75,19.75,,,0,0,0,2,108,142,80,34,114,.298,8,50,.160,32,49,.653,20,70,16,16,6,22,42,Southland,54.0,71.0,-17.00,-4.25,7.00,96.87,91.44,5.44,2025-11-08
Norfolk State,79.3,82.6,.348,.491,.502,39.0,52.4,5.0,2.9,.451,25.2,23.6,.268,79.3,136.9,.420,.280,.633,61.0,35.4,18.3,12.3,.601,10.0,44.9,.315,42,112,.375,17,55,.309,30,39,.769,17,55,22,8,3,44,44,2,2,0,1.000,,,,,2,0,0,0,217,131,80,79,143,.552,14,40,.350,45,60,.750,31,86,28,29,7,19,38,MEAC,108.5,65.5,43.00,,,,,,2025-11-08
North Alabama,71.6,118.8,.325,.405,.584,51.6,50.8,11.2,12.0,.548,11.0,31.9,.254,71.6,106.2,.378,.346,.507,48.4,40.7,9.8,16.0,.476,12.8,31.3,.244,59,126,.468,20,51,.392,32,41,.780,23,80,30,16,10,18,39,2,1,1,.500,0.00,24.00,,,1,0,0,1,152,170,80,54,127,.425,13,44,.295,31,48,.646,26,75,22,14,12,22,34,A-Sun,76.0,85.0,-9.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
North Carolina,73.0,87.7,.197,.443,.480,40.4,50.0,9.6,5.3,.459,18.9,23.3,.131,73.0,124.0,.298,.427,.605,59.6,58.2,15.1,7.4,.580,13.3,41.2,.221,46,122,.377,20,54,.370,16,24,.667,17,57,23,14,4,31,40,2,2,0,1.000,33.40,6.90,,,2,0,0,0,181,128,80,67,131,.511,18,56,.321,29,39,.744,28,84,39,22,5,23,29,ACC,90.5,64.0,26.50,21.00,12.40,113.04,90.21,22.83,2025-11-08
North Carolina A&T,75.7,120.2,.333,.508,.624,56.3,77.4,6.6,4.1,.603,15.1,29.4,.238,75.7,95.1,.367,.183,.511,43.7,46.2,11.9,9.7,.467,14.6,18.9,.267,31,63,.492,14,32,.438,15,21,.714,10,40,24,5,2,13,19,1,0,1,.000,0.00,19.00,,,0,0,0,1,72,91,40,26,60,.433,4,11,.364,16,22,.727,7,31,12,9,3,12,17,CAA,72.0,91.0,-19.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
North Carolina Central,67.8,143.9,.392,.608,.658,60.3,75.4,12.5,15.8,.652,12.4,49.3,.256,67.8,94.5,.463,.296,.486,39.7,55.0,11.8,6.1,.421,17.0,29.9,.343,65,125,.520,33,76,.434,32,49,.653,34,88,49,17,12,21,40,2,0,2,.000,-7.92,25.58,,,0,0,0,2,128,195,80,40,108,.370,11,32,.344,37,50,.740,23,58,22,16,3,27,38,MEAC,64.0,97.5,-33.50,0.55,-8.47,102.99,117.10,-14.11,2025-11-08
North Dakota,72.3,114.1,.535,.406,.651,59.6,67.3,8.3,14.1,.604,21.2,28.3,.426,72.3,91.3,.339,.355,.470,40.4,60.0,14.5,6.7,.459,12.5,20.5,.174,55,101,.545,12,41,.293,43,54,.796,15,81,37,12,11,34,34,2,0,2,.000,0.00,16.50,,,0,1,0,1,132,165,80,50,121,.413,11,43,.256,21,41,.512,17,55,30,21,4,20,43,Summit,66.0,82.5,-16.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
North Dakota State,67.3,109.2,.439,.388,.621,48.9,56.0,9.7,7.6,.592,20.2,29.1,.316,67.3,98.8,.182,.423,.447,51.1,53.8,9.7,8.3,.412,11.3,37.8,.146,50,98,.510,16,38,.421,31,43,.721,16,67,28,13,6,30,26,2,0,2,.000,3.02,10.02,,,0,0,0,2,133,147,80,52,137,.380,9,58,.155,20,25,.800,31,70,28,13,5,19,42,Summit,66.5,73.5,-7.00,-7.04,10.05,100.61,89.35,11.26,2025-11-08
North Florida,79.9,130.2,.346,.395,.551,72.7,55.0,11.3,18.2,.531,12.9,63.0,.222,79.9,80.1,.361,.459,.448,27.3,10.5,7.5,0.0,.369,18.3,16.7,.311,40,81,.494,6,32,.188,18,28,.643,29,64,22,9,6,14,14,1,0,1,.000,-25.60,14.40,,,0,0,0,1,64,104,40,19,61,.311,7,28,.250,19,22,.864,7,24,2,6,0,16,24,A-Sun,64.0,104.0,-40.00,-17.60,-8.00,101.51,120.05,-18.55,2025-11-08
North Texas,67.5,79.3,.528,.382,.481,45.8,51.6,10.4,9.4,.404,27.9,30.8,.393,67.5,124.5,.563,.379,.643,54.2,63.2,17.8,21.8,.641,16.1,36.4,.350,31,89,.348,10,34,.294,35,47,.745,20,55,16,14,6,43,37,2,2,0,1.000,-7.50,-34.50,,,2,0,0,0,168,107,80,57,103,.553,18,39,.462,36,58,.621,20,65,36,24,12,25,42,American,84.0,53.5,30.50,-12.00,4.50,115.55,108.27,7.28,2025-11-08
Northeastern,66.7,99.5,.303,.395,.518,52.1,49.0,10.6,10.4,.471,16.6,30.4,.227,66.7,100.9,.429,.353,.499,47.9,51.0,11.3,5.6,.450,12.3,28.6,.303,51,119,.429,10,47,.213,27,36,.750,21,76,25,15,8,27,41,2,1,1,.500,-6.58,-7.58,,,0,1,1,0,143,141,85,49,119,.412,9,42,.214,36,51,.706,22,70,25,16,4,20,33,CAA,71.5,70.5,1.00,-0.88,-5.70,97.11,97.54,-0.43,2025-11-08
Northern Arizona,71.8,92.0,.319,.294,.482,48.8,38.3,6.3,6.9,.433,16.5,27.6,.244,71.8,110.1,.286,.279,.497,51.2,51.6,8.4,6.0,.493,9.1,33.7,.143,47,119,.395,9,35,.257,29,38,.763,21,82,18,9,7,27,33,2,1,1,.500,-11.60,-5.60,,,1,0,0,0,158,132,80,62,140,.443,14,39,.359,20,40,.500,31,86,32,12,5,16,34,Big Sky,79.0,66.0,13.00,-3.60,-8.00,97.88,111.60,-13.73,2025-11-08
Northern Colorado,68.6,88.9,.196,.339,.498,34.6,24.5,9.5,5.3,.487,19.1,17.9,.116,68.6,139.9,.279,.558,.657,65.4,70.6,13.1,4.1,.640,12.6,48.5,.209,49,112,.438,11,38,.289,13,22,.591,12,46,12,13,3,29,28,2,2,0,1.000,,,,,2,0,0,0,192,122,80,68,129,.527,29,72,.403,27,36,.750,32,87,48,18,3,21,24,Big Sky,96.0,61.0,35.00,,,,,,2025-11-08
Northern Illinois,74.3,120.5,.504,.436,.617,43.9,45.8,9.4,9.4,.577,13.2,31.3,.376,74.3,117.1,.509,.429,.626,56.1,56.9,4.0,3.0,.598,20.1,41.1,.357,59,117,.504,17,51,.333,44,59,.746,21,54,27,14,6,22,43,2,1,1,.500,9.09,11.59,,,1,0,0,1,174,179,80,58,112,.518,18,48,.375,40,57,.702,23,69,33,6,2,35,51,MAC,87.0,89.5,-2.50,17.37,-8.29,123.54,116.24,7.30,2025-11-08
Northern Iowa,71.8,79.3,.442,.404,.453,53.5,47.1,7.0,6.7,.385,24.1,28.9,.327,71.8,119.7,.159,.524,.635,46.5,75.0,11.1,16.1,.619,12.9,18.2,.127,17,52,.327,6,21,.286,17,23,.739,11,38,8,5,2,20,12,1,1,0,1.000,0.00,-29.00,,,1,0,0,0,86,57,40,32,63,.508,14,33,.424,8,10,.800,6,33,24,8,5,10,16,MVC,86.0,57.0,29.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Northern Kentucky,89.9,76.8,.192,.493,.433,29.6,54.2,13.4,2.1,.404,21.6,23.9,.137,89.9,140.2,.474,.368,.677,70.4,55.3,16.7,13.5,.697,16.2,62.9,.263,24,73,.329,11,36,.306,10,14,.714,11,24,13,12,1,22,22,1,1,0,1.000,,,,,1,0,0,0,126,69,40,47,76,.618,12,28,.429,20,36,.556,22,57,26,15,5,18,17,Horizon,126.0,69.0,57.00,,,,,,2025-11-08
Northwestern,63.9,77.4,.169,.347,.388,44.8,67.6,6.3,8.1,.356,16.4,28.9,.127,63.9,114.2,.455,.339,.536,55.2,66.0,10.9,11.7,.500,11.1,36.6,.304,37,118,.314,10,41,.244,15,20,.750,24,69,25,8,6,25,40,2,2,0,1.000,18.43,-5.07,,,2,0,0,0,146,99,80,50,112,.446,12,38,.316,34,51,.667,26,85,33,14,9,17,22,Big Ten,73.0,49.5,23.50,0.15,18.28,115.04,76.53,38.51,2025-11-08
Northwestern State,67.3,132.3,.372,.430,.625,57.6,58.7,14.9,19.4,.607,13.9,44.6,.256,67.3,89.9,.490,.367,.501,42.4,54.1,11.9,10.1,.439,20.9,29.9,.357,63,121,.521,21,52,.404,31,45,.689,29,76,37,20,12,23,41,2,0,2,.000,2.00,30.50,,,0,0,0,2,121,178,80,37,98,.378,12,36,.333,35,48,.729,20,56,20,16,7,32,33,Southland,60.5,89.0,-28.50,-1.00,3.00,102.11,99.60,2.51,2025-11-08
Notre Dame,73.5,93.1,.336,.393,.484,41.8,55.1,10.2,9.2,.463,16.5,26.5,.197,73.5,129.9,.419,.476,.642,58.2,54.0,10.2,4.1,.621,14.9,40.0,.298,49,122,.402,15,48,.313,24,41,.585,22,64,27,15,6,28,43,2,2,0,1.000,14.75,-12.25,,,2,0,0,0,191,137,80,63,124,.508,28,59,.475,37,52,.712,28,89,34,15,3,26,39,ACC,95.5,68.5,27.00,12.41,2.34,131.84,100.20,31.64,2025-11-08
Oakland,73.8,141.0,.203,.507,.687,55.8,68.8,4.7,17.5,.674,7.9,27.9,.159,73.8,105.0,.205,.394,.535,44.2,43.9,6.8,2.9,.504,12.1,22.1,.167,77,138,.558,32,70,.457,22,28,.786,17,77,53,7,14,13,27,2,0,2,.000,7.00,33.50,,,0,0,0,2,155,208,80,57,132,.432,19,52,.365,22,27,.815,17,61,25,10,2,20,25,Horizon,77.5,104.0,-26.50,8.67,-1.67,99.31,103.91,-4.60,2025-11-08
Ohio,72.7,108.0,.331,.449,.575,56.2,44.4,6.9,7.1,.534,17.5,31.4,.263,72.7,108.0,.415,.288,.556,43.8,40.7,5.5,6.2,.538,11.3,17.9,.254,54,118,.458,18,53,.340,31,39,.795,22,77,24,10,6,29,47,2,1,1,.500,-9.67,-9.67,,,1,1,0,0,157,157,80,59,118,.500,9,34,.265,30,49,.612,12,60,24,8,4,18,32,MAC,78.5,78.5,0.00,-1.67,-8.00,100.82,113.43,-12.61,2025-11-08
Ohio State,79.2,107.3,.274,.444,.557,36.2,45.3,10.7,5.5,.537,14.6,24.4,.185,79.2,133.8,.629,.476,.777,63.8,60.3,6.9,1.3,.762,20.9,39.5,.495,64,135,.474,17,60,.283,25,37,.676,19,42,29,17,3,26,52,2,2,0,1.000,2.24,-18.76,,,2,0,0,0,212,170,80,68,105,.648,24,50,.480,52,66,.788,15,74,41,11,1,36,34,Big Ten,106.0,85.0,21.00,11.51,-9.27,122.25,112.70,9.55,2025-11-08
Oklahoma,74.2,89.0,.152,.258,.466,44.0,37.0,10.8,2.5,.447,16.5,30.0,.106,74.2,137.6,.257,.429,.649,56.0,59.0,10.8,20.4,.636,12.3,40.0,.186,27,66,.409,5,17,.294,7,10,.700,12,33,10,8,1,14,19,1,1,0,1.000,-3.33,-39.33,,,1,0,0,0,102,66,40,39,70,.557,11,30,.367,13,18,.722,14,42,23,8,10,11,11,SEC,102.0,66.0,36.00,-1.33,-2.00,101.24,105.49,-4.25,2025-11-08
Oklahoma State,85.4,83.2,.319,.551,.447,41.6,58.3,8.2,25.5,.406,16.8,22.9,.217,85.4,111.3,.417,.347,.551,58.4,56.3,8.2,0.0,.500,14.8,36.6,.319,24,69,.348,8,38,.211,15,22,.682,11,37,14,7,12,16,24,1,1,0,1.000,0.00,-24.00,,,1,0,0,0,95,71,40,32,72,.444,8,25,.320,23,30,.767,15,52,18,7,0,15,19,Big 12,95.0,71.0,24.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Old Dominion,74.7,93.7,.377,.361,.487,42.9,43.5,9.4,8.0,.434,14.3,22.0,.279,74.7,110.4,.331,.380,.589,57.1,53.3,8.7,11.5,.554,17.2,30.8,.256,46,122,.377,14,44,.318,34,46,.739,18,63,20,14,6,24,36,2,1,1,.500,0.00,15.00,,,1,0,0,1,165,140,80,60,121,.496,14,46,.304,31,40,.775,20,84,32,13,9,29,42,Sun Belt,82.5,70.0,12.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Omaha,74.0,106.8,.466,.457,.558,52.3,56.3,10.8,9.0,.483,16.5,32.8,.397,74.0,100.0,.450,.284,.559,47.7,31.4,12.8,7.9,.514,20.0,27.0,.330,48,116,.414,16,53,.302,46,54,.852,22,68,27,16,7,28,44,2,0,2,.000,0.35,5.35,,,0,0,0,1,148,158,80,51,109,.468,10,31,.323,36,49,.735,17,62,16,19,5,33,40,Summit,74.0,79.0,-5.00,3.14,-2.79,105.54,91.83,13.72,2025-11-08
Oral Roberts,85.4,111.3,.417,.347,.551,58.4,56.3,8.2,0.0,.500,14.8,36.6,.319,85.4,83.2,.319,.551,.447,41.6,58.3,8.2,25.5,.406,16.8,22.9,.217,32,72,.444,8,25,.320,23,30,.767,15,52,18,7,0,15,19,1,0,1,.000,0.00,24.00,,,0,0,0,1,71,95,40,24,69,.348,8,38,.211,15,22,.682,11,37,14,7,12,16,24,Summit,71.0,95.0,-24.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Oregon,71.2,85.7,.236,.425,.432,46.1,44.2,13.3,10.6,.402,18.5,33.7,.157,71.2,89.2,.582,.400,.452,53.9,55.3,11.2,21.9,.386,19.0,40.7,.382,43,127,.339,16,54,.296,20,30,.667,29,77,19,19,7,32,48,2,2,0,1.000,0.00,-2.50,,,2,0,0,0,127,122,80,38,110,.345,9,44,.205,42,64,.656,33,90,21,16,16,33,30,Big Ten,63.5,61.0,2.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Oregon State,67.4,102.4,.264,.512,.507,45.4,55.1,14.8,8.5,.467,13.4,29.2,.207,67.4,106.2,.531,.510,.595,54.6,65.9,10.4,1.7,.542,21.5,34.5,.406,49,121,.405,15,62,.242,25,32,.781,21,59,27,20,4,21,43,2,2,0,1.000,4.85,2.35,,,2,0,0,0,143,138,80,44,96,.458,16,49,.327,39,51,.765,20,71,29,14,1,33,31,WCC,71.5,69.0,2.50,-3.03,7.88,112.40,97.90,14.51,2025-11-08
Pacific,64.3,87.1,.385,.327,.455,45.3,31.6,4.7,2.9,.423,17.4,29.4,.231,64.3,129.2,.322,.424,.610,54.7,54.8,9.3,11.4,.593,9.3,36.7,.220,19,52,.365,6,17,.353,12,20,.600,10,29,6,3,1,13,18,1,1,0,1.000,,,,,1,0,0,0,83,56,40,31,59,.525,8,25,.320,13,19,.684,11,35,17,6,4,7,19,WCC,83.0,56.0,27.00,,,,,,2025-11-08
Penn State,69.1,98.4,.129,.471,.458,49.4,37.0,4.3,5.1,.429,8.6,27.3,.114,69.1,110.0,.439,.316,.552,50.6,46.4,7.2,5.4,.535,9.2,21.2,.263,27,70,.386,6,33,.182,8,9,.889,12,38,10,3,2,7,21,1,1,0,1.000,0.00,-8.00,,,1,0,0,0,76,68,40,28,57,.491,5,18,.278,15,25,.600,7,39,13,5,2,7,11,Big Ten,76.0,68.0,8.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Pennsylvania,86.1,83.6,.309,.456,.462,33.0,58.3,10.4,14.3,.426,18.8,21.3,.206,86.1,138.2,.690,.310,.631,67.0,56.4,12.8,10.8,.606,12.9,53.7,.465,24,68,.353,10,31,.323,14,21,.667,10,29,14,9,7,18,31,1,1,0,1.000,,,,,1,0,0,0,119,72,40,39,71,.549,8,22,.364,33,49,.673,22,59,22,11,4,14,16,Ivy,119.0,72.0,47.00,,,,,,2025-11-08
Pepperdine,65.7,117.1,.427,.409,.582,43.5,46.2,10.6,11.6,.536,14.3,34.3,.327,65.7,114.9,.285,.439,.541,56.5,53.7,10.6,10.8,.512,15.7,47.9,.203,52,110,.473,14,45,.311,36,47,.766,23,60,24,14,8,22,32,2,1,1,.500,-3.33,7.67,,,1,0,0,1,151,154,80,54,123,.439,18,54,.333,25,35,.714,34,78,29,14,7,26,39,WCC,75.5,77.0,-1.50,-7.33,4.00,97.87,108.24,-10.38,2025-11-08
Pittsburgh,67.8,87.7,.184,.424,.438,38.6,38.6,11.1,12.5,.408,12.3,23.3,.136,67.8,112.0,.602,.456,.574,61.4,61.4,8.1,12.5,.515,19.5,41.8,.447,44,125,.352,14,53,.264,17,23,.739,20,59,17,15,7,19,48,2,2,0,1.000,18.38,1.88,,,2,0,0,0,152,119,80,44,103,.427,18,47,.383,46,62,.742,28,94,27,11,9,32,31,ACC,76.0,59.5,16.50,-0.23,18.61,110.50,75.83,34.67,2025-11-08
Portland,87.5,89.7,.364,.508,.507,42.8,62.5,11.4,4.9,.443,19.3,21.3,.303,87.5,115.9,.680,.352,.614,57.2,67.2,9.7,15.4,.564,16.6,30.0,.496,48,132,.364,21,67,.313,40,48,.833,19,68,30,20,4,37,59,2,2,0,1.000,-25.50,-34.50,,,2,0,0,0,203,157,80,64,125,.512,13,44,.295,62,85,.729,21,91,43,17,10,33,40,WCC,101.5,78.5,23.00,-8.25,-17.25,97.89,114.00,-16.11,2025-11-08
Portland State,82.0,99.4,.642,.248,.573,42.1,50.0,7.9,5.8,.514,20.6,23.2,.468,82.0,122.6,.264,.386,.638,57.9,55.8,12.8,7.3,.625,18.2,39.4,.186,50,109,.459,12,27,.444,51,70,.729,16,59,25,13,5,37,37,2,1,1,.500,0.00,10.00,,,1,0,0,1,201,163,80,77,140,.550,21,54,.389,26,37,.703,28,81,43,21,6,35,57,Big Sky,100.5,81.5,19.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Prairie View,78.2,64.6,.252,.447,.438,38.5,31.6,7.7,5.6,.413,30.2,17.5,.155,78.2,120.8,.480,.280,.616,61.5,42.4,21.1,12.3,.576,15.4,39.0,.360,38,103,.369,9,46,.196,16,26,.615,11,47,12,12,5,50,37,2,2,0,1.000,,,,,2,0,0,0,189,101,80,66,125,.528,12,35,.343,45,60,.750,23,75,28,33,7,28,29,SWAC,94.5,50.5,44.00,,,,,,2025-11-08
Presbyterian,71.5,106.2,.487,.270,.537,41.8,54.0,13.3,6.2,.496,10.7,23.3,.330,71.5,111.8,.523,.414,.577,58.2,49.1,7.7,15.5,.532,18.8,38.2,.378,50,115,.435,14,31,.452,38,56,.679,17,59,27,19,4,17,44,2,1,1,.500,-25.00,-4.00,,,1,1,0,0,160,152,80,53,111,.477,12,46,.261,42,58,.724,26,82,26,11,13,32,44,Big South,80.0,76.0,4.00,-21.00,-4.00,38.81,146.37,-107.56,2025-11-08
Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,Ivy,,,,,,,,,2025-11-08
Providence,77.9,101.4,.323,.508,.527,46.8,48.1,10.3,5.6,.500,14.8,20.9,.215,77.9,114.2,.435,.419,.595,53.2,54.8,14.1,18.8,.556,11.8,22.2,.323,27,65,.415,11,33,.333,14,21,.667,9,37,13,8,2,13,22,1,1,0,1.000,0.00,-10.00,,,1,0,0,0,89,79,40,31,62,.500,7,26,.269,20,27,.741,8,42,17,11,6,10,21,Big East,89.0,79.0,10.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Purdue,65.8,97.2,.116,.435,.440,50.6,52.9,4.6,6.3,.424,11.5,37.2,.080,65.8,128.4,.244,.504,.596,49.4,73.3,6.1,14.1,.575,7.8,32.9,.181,51,138,.370,15,60,.250,11,16,.688,32,79,27,6,4,19,29,2,2,0,1.000,-11.00,-31.50,,,2,0,0,0,169,128,80,60,127,.472,26,64,.406,23,31,.742,23,77,44,8,11,12,21,Big Ten,84.5,64.0,20.50,-11.33,0.33,79.78,108.65,-28.87,2025-11-08
Purdue Fort Wayne,73.9,124.5,.306,.481,.744,62.1,65.2,8.1,2.8,.736,21.6,26.2,.231,73.9,94.1,.220,.423,.512,37.9,43.4,13.5,7.1,.484,16.1,17.6,.163,66,108,.611,27,52,.519,25,33,.758,11,72,43,12,2,34,33,2,0,2,.000,-20.18,2.32,,,0,0,0,2,139,184,80,53,123,.431,13,52,.250,20,27,.741,13,44,23,20,4,26,32,Horizon,69.5,92.0,-22.50,-19.88,-0.30,80.48,102.35,-21.87,2025-11-08
Queens (NC),75.4,104.1,.435,.366,.497,52.8,42.0,13.3,10.7,.431,14.1,38.4,.336,75.4,106.8,.504,.513,.565,47.2,50.9,6.0,4.8,.535,17.9,30.7,.330,50,131,.382,13,48,.271,44,57,.772,33,85,21,20,6,26,47,2,1,1,.500,-8.67,-1.67,,,1,0,0,0,161,157,80,53,115,.461,17,59,.288,38,58,.655,23,76,27,9,4,31,51,A-Sun,80.5,78.5,2.00,-14.67,6.00,83.20,96.17,-12.97,2025-11-08
Quinnipiac,76.3,102.9,.358,.313,.501,52.8,64.9,9.8,7.4,.470,12.8,35.0,.231,76.3,95.0,.188,.319,.482,47.2,35.7,12.5,13.0,.460,15.2,29.6,.130,57,134,.425,12,42,.286,31,48,.646,28,85,37,15,7,23,27,2,1,1,.500,0.00,6.00,,,1,0,0,1,145,157,80,56,138,.406,15,44,.341,18,26,.692,24,76,20,19,12,27,43,MAAC,72.5,78.5,-6.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Radford,68.1,99.9,.240,.347,.505,40.6,31.4,11.8,8.6,.475,17.7,35.7,.174,68.1,131.5,.352,.426,.628,59.4,53.7,11.0,10.1,.619,14.9,54.0,.230,51,121,.421,13,42,.310,21,29,.724,25,54,16,16,6,29,39,2,2,0,1.000,2.40,-2.60,,,2,0,0,0,179,136,80,67,122,.549,17,52,.327,28,43,.651,34,79,36,15,8,25,26,Big South,89.5,68.0,21.50,11.20,-8.80,129.05,116.20,12.85,2025-11-08
Rhode Island,69.6,103.5,.422,.431,.550,46.1,61.2,10.8,4.5,.537,20.6,34.8,.248,69.6,113.6,.387,.396,.601,53.9,58.2,17.2,8.1,.559,18.6,40.7,.306,49,109,.450,19,47,.404,27,46,.587,24,59,30,15,3,34,33,2,1,1,.500,0.00,-7.00,,,1,0,0,0,158,144,80,55,111,.495,14,44,.318,34,43,.791,24,69,32,24,5,30,37,A-10,79.0,72.0,7.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Rice,70.5,74.5,.462,.452,.414,43.2,51.6,12.1,16.2,.361,22.6,29.6,.288,70.5,122.1,.295,.426,.585,56.8,60.0,14.2,14.0,.554,15.0,41.9,.225,31,104,.298,13,47,.277,30,48,.625,24,67,16,17,12,37,31,2,1,1,.500,-1.50,2.50,,,1,0,0,1,172,105,80,60,129,.465,23,55,.418,29,38,.763,31,88,36,20,8,26,47,American,86.0,52.5,33.50,2.00,-3.50,119.53,124.73,-5.20,2025-11-08
Richmond,73.1,76.6,.604,.500,.453,41.3,33.3,4.1,2.8,.365,21.6,13.2,.438,73.1,114.9,.314,.486,.522,58.8,60.0,17.8,12.5,.479,6.9,33.3,.243,15,48,.313,5,24,.208,21,29,.724,5,33,5,3,1,17,17,1,1,0,1.000,,,,,1,0,0,0,84,56,40,30,70,.429,7,34,.206,17,22,.773,14,47,18,13,3,6,22,A-10,84.0,56.0,28.00,,,,,,2025-11-08
Rider,65.3,128.7,.523,.445,.526,55.2,47.3,12.3,17.1,.500,7.5,48.8,.313,65.3,81.2,.412,.281,.389,44.8,32.4,5.4,4.2,.320,17.0,38.6,.289,55,128,.430,18,57,.316,40,67,.597,42,96,26,16,14,13,41,2,0,2,.000,-22.55,8.45,,,0,0,0,2,106,168,80,34,114,.298,5,32,.156,33,47,.702,34,78,11,7,3,28,49,MAAC,53.0,84.0,-31.00,-8.36,-14.20,88.00,123.05,-35.05,2025-11-08
Robert Morris,67.4,125.7,.679,.339,.608,46.6,56.6,14.7,12.1,.531,11.4,35.3,.545,67.4,104.8,.259,.431,.576,53.4,58.2,7.0,8.1,.560,23.5,41.5,.172,53,112,.473,13,38,.342,61,76,.803,24,62,30,21,8,19,40,2,1,1,.500,-3.60,11.40,,,0,0,1,1,150,180,85,55,116,.474,20,50,.400,20,30,.667,27,71,32,10,6,40,60,Horizon,75.0,90.0,-15.00,6.40,-10.00,103.84,105.76,-1.92,2025-11-08
Rutgers,66.6,79.6,.277,.308,.360,49.5,22.2,6.0,2.7,.292,16.0,43.8,.231,66.6,121.6,.516,.422,.508,50.5,48.0,12.0,11.1,.469,8.1,44.4,.328,18,65,.277,2,20,.100,15,18,.833,21,46,4,4,1,14,25,1,1,0,1.000,-0.83,-28.83,,,1,0,0,0,81,53,40,25,64,.391,10,27,.370,21,33,.636,20,47,12,8,5,7,17,Big Ten,81.0,53.0,28.00,-13.69,12.86,94.98,93.09,1.90,2025-11-08
SIU Edwardsville,78.2,70.3,.254,.389,.390,39.3,32.5,14.1,5.4,.365,21.2,25.8,.143,78.2,125.3,.443,.298,.618,60.7,45.1,16.6,6.5,.599,15.5,42.9,.298,40,126,.317,12,49,.245,18,32,.563,24,64,13,22,5,38,43,2,2,0,1.000,0.00,-17.00,,,1,0,1,0,196,110,80,71,131,.542,15,39,.385,39,58,.672,30,99,32,26,5,29,31,OVC,98.0,55.0,43.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Sacramento State,78.7,98.5,.216,.358,.475,47.7,57.9,10.8,7.2,.439,10.9,28.1,.169,78.7,120.1,.448,.448,.623,52.3,63.3,7.6,17.9,.584,15.6,27.6,.344,57,148,.385,16,53,.302,25,32,.781,27,82,33,17,5,20,44,2,2,0,1.000,,,,,2,0,0,0,189,155,80,60,125,.480,26,56,.464,43,56,.768,21,90,38,12,17,28,39,Big Sky,94.5,77.5,17.00,,,,,,2025-11-08
Sacred Heart,71.5,96.5,.414,.491,.497,42.1,68.9,8.4,3.1,.461,16.8,30.0,.267,71.5,128.0,.402,.515,.582,57.9,54.0,14.0,6.8,.561,12.3,45.6,.265,45,116,.388,17,57,.298,31,48,.646,24,67,31,12,2,28,41,2,1,1,.500,4.00,16.00,,,1,0,0,1,183,138,80,63,132,.477,22,68,.324,35,53,.660,36,92,34,20,4,22,35,MAAC,91.5,69.0,22.50,8.50,-4.50,101.56,102.94,-1.37,2025-11-08
