team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Jacksonville State,83.8,75.2,.364,.409,.407,32.6,31.8,9.5,0.0,.364,15.3,16.3,.227,83.8,139.7,.430,.506,.615,67.4,53.8,11.9,12.8,.576,9.5,48.8,.329,22,66,.333,4,27,.148,15,24,.625,8,30,7,8,0,14,26,1,1,0,1.000,,,,,1,0,0,0,117,63,40,39,79,.494,13,40,.325,26,34,.765,21,62,21,10,5,10,20,CUSA,117.0,63.0,54.00,,,,,,2025-11-08
James Madison,68.7,102.6,.258,.379,.506,47.4,45.1,10.9,10.4,.468,12.0,29.9,.202,68.7,102.6,.275,.442,.520,52.6,55.1,9.5,23.4,.471,18.1,34.7,.233,51,124,.411,14,47,.298,25,32,.781,23,72,23,15,7,19,27,2,1,1,.500,0.00,14.00,,,1,0,0,1,141,141,80,49,120,.408,15,53,.283,28,33,.848,26,80,27,13,18,30,33,Sun Belt,70.5,70.5,0.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Kansas,67.5,102.2,.287,.475,.498,47.8,46.0,8.1,6.3,.475,12.1,29.5,.180,67.5,124.4,.336,.448,.624,52.2,57.6,8.9,17.2,.603,11.2,27.6,.241,50,122,.410,16,58,.276,22,35,.629,23,65,23,11,4,19,35,2,1,1,.500,19.80,4.80,,,1,0,0,1,168,138,80,59,116,.509,22,52,.423,28,39,.718,16,71,34,12,11,17,33,Big 12,84.0,69.0,15.00,8.40,11.40,121.20,85.88,35.32,2025-11-08
Kansas City,73.8,118.5,.331,.274,.610,50.0,48.6,9.5,7.5,.601,14.3,30.2,.210,73.8,107.0,.359,.375,.527,50.0,41.8,6.8,1.1,.500,14.3,34.6,.234,70,124,.565,9,34,.265,26,41,.634,19,72,34,14,6,24,40,2,1,1,.500,0.00,23.00,,,1,0,0,1,158,175,80,55,128,.430,18,48,.375,30,46,.652,28,72,23,10,1,25,36,Summit,79.0,87.5,-8.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Kansas State,80.0,80.0,.328,.328,.454,42.5,65.2,13.8,7.5,.426,20.3,24.4,.197,80.0,116.3,.299,.403,.608,57.5,64.7,11.3,17.1,.612,17.3,34.4,.164,23,61,.377,6,20,.300,12,20,.600,10,31,15,11,3,18,17,1,1,0,1.000,0.00,-29.00,,,1,0,0,0,93,64,40,34,67,.507,14,27,.519,11,20,.550,11,42,22,9,7,16,20,Big 12,93.0,64.0,29.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Kennesaw State,78.2,37.1,.082,.315,.191,35.1,33.3,7.7,6.1,.178,15.6,18.0,.041,78.2,134.3,.290,.522,.669,64.9,59.5,10.2,12.0,.659,13.3,36.1,.203,12,73,.164,2,23,.087,3,6,.500,11,34,4,6,2,14,15,1,1,0,1.000,,,,,1,0,0,0,105,29,40,37,69,.536,17,36,.472,14,20,.700,13,63,22,8,6,12,7,CUSA,105.0,29.0,76.00,,,,,,2025-11-08
Kent State,77.5,124.4,.437,.524,.674,46.1,60.6,6.1,6.7,.647,16.0,30.6,.333,77.5,125.7,.458,.479,.590,53.9,56.9,9.7,13.3,.556,12.5,41.8,.326,66,126,.524,31,66,.470,42,55,.764,19,65,40,10,5,29,51,2,1,1,.500,-1.50,-2.50,,,1,1,0,0,207,205,85,65,144,.451,30,69,.435,47,66,.712,33,76,37,16,8,25,45,MAC,103.5,102.5,1.00,18.00,-19.50,98.64,98.17,0.47,2025-11-08
Kentucky,72.4,75.9,.350,.483,.393,38.8,57.1,8.3,6.7,.342,13.0,18.5,.233,72.4,127.0,.369,.423,.602,61.2,72.7,6.9,12.9,.577,11.1,35.6,.262,35,120,.292,12,58,.207,28,42,.667,17,64,20,12,5,21,34,2,2,0,1.000,17.25,-19.75,,,2,0,0,0,184,110,80,66,130,.508,18,55,.327,34,48,.708,26,101,48,10,8,19,33,SEC,92.0,55.0,37.00,14.00,3.25,115.17,99.16,16.01,2025-11-08
La Salle,73.6,80.2,.316,.456,.450,38.9,65.0,2.7,10.8,.386,19.6,17.5,.263,73.6,118.2,.660,.302,.625,61.1,69.2,14.9,6.5,.566,16.7,34.4,.509,20,57,.351,4,26,.154,15,18,.833,7,28,13,2,4,16,26,1,1,0,1.000,6.25,-21.75,,,1,0,0,0,87,59,40,26,53,.491,8,16,.500,27,35,.771,11,44,18,11,2,14,20,A-10,87.0,59.0,28.00,0.50,5.75,98.81,91.89,6.92,2025-11-08
Lafayette,73.9,87.3,.242,.460,.467,49.7,58.7,10.1,7.4,.431,19.7,31.3,.177,73.9,104.9,.344,.382,.509,50.3,42.9,12.2,6.0,.485,12.6,32.1,.214,46,124,.371,15,57,.263,22,30,.733,25,80,27,15,6,34,42,2,1,1,.500,0.00,9.00,,,1,0,0,1,155,129,80,56,131,.427,15,50,.300,28,45,.622,26,81,24,18,4,22,35,Patriot,77.5,64.5,13.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
